Feature,Importance (Gain)
vix_level_z,44079.207960128784
vix_sma_ratio,39210.82067489624
Sector_Return,6658.435930252075
RSI_x_regime,6125.320278167725
RS_x_regime,4232.25260925293
vix_regime,3962.316116333008
ADX_x_regime,3610.150827407837
ADX_14,2725.1548194885254
BBL_20_2.0_2.0,2717.8295860290527
CMF_20,2662.7229328155518
KCLe_20_2,2573.5701026916504
EMA_9,2370.4850540161133
BBM_20_2.0_2.0,1933.4109001159668
MACDh_12_26_9,1901.4839916229248
DMP_14,1837.8095264434814
MACD_rank,1765.9696836471558
ROC_10,1736.0890998840332
RSI_14,1625.5100116729736
AROONOSC_14,1589.9947204589844
BBU_20_2.0_2.0,1541.522777557373
log_return,1540.9254722595215
vol_20,1534.0626831054688
stock_beta_60d,1489.0512027740479
STOCHh_14_3_3,1473.9313941001892
EV_to_EBITDA,1398.4457054138184
oc_ratio,1135.9143953323364
Price_To_Book,1130.7986869812012
AROONU_14,1113.520709991455
MFI_14,884.2366933822632
market_regime,855.6271934509277
Trailing_PE,852.0868053436279
RSI_rank,756.4426078796387
DMN_14,741.7977142333984
STOCHk_14_3_3,736.3253993988037
spy_regime,732.1120758056641
hl_ratio,607.8986015319824
rs_vs_spy_20d,595.6338977813721
MACD_12_26_9,572.4617023468018
OBV,558.7666893005371
momentum_accel,491.7124967575073
AROOND_14,270.7118034362793
WILLR_14,269.68749237060547
CCI_20_0.015,198.94739151000977
Vol_rank,179.1117000579834
Stock_RS_vs_Sector,175.00589752197266
